size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
9.26582364E8,7,8,../datasets/clusters,7.23892471875,0.8488,1.0006,128,0.0,2,
2.22455521E8,1,9,../datasets/clusters,1.7379337578125,0.0015,1.20678,128,0.0,2,
3.53024968E8,2,9,../datasets/clusters,2.7580075625,0.0126,1.14516,128,0.0,2,
4.8339436E8,3,9,../datasets/clusters,3.7765184375,0.0879,1.07148,128,0.0,2,
6.13879732E8,4,9,../datasets/clusters,4.79593540625,0.2725,1.02674,128,0.0,2,
7.43914824E8,5,9,../datasets/clusters,5.8118345625,0.5602,1.00684,128,0.0,2,
8.75305869E8,6,9,../datasets/clusters,6.8383271015625,0.7616,1.00178,128,0.0,2,
9.95469767E8,7,9,../datasets/clusters,7.7771075546875,0.8809,1.00037,128,0.0,2,
1.057003828E9,8,9,../datasets/clusters,8.25784240625,0.9217,1.00015,128,0.0,2,
1.170430194E9,1,10,../datasets/clusters,9.143985890625,0.4286,1.01832,128,0.0,32,
1.255076422E9,2,10,../datasets/clusters,9.805284546875,0.9131,1.00019,128,0.0,32,
1.280219074E9,3,10,../datasets/clusters,10.001711515625,0.9529,1.00006,128,0.0,32,
1.283473199E9,4,10,../datasets/clusters,10.0271343671875,0.9619,1.00004,128,0.0,32,
1.283882538E9,5,10,../datasets/clusters,10.030332328125,0.9594,1.00004,128,0.0,32,
1.283920688E9,6,10,../datasets/clusters,10.030630375,0.9627,1.00003,128,0.0,32,
1.283913767E9,7,10,../datasets/clusters,10.0305763046875,0.9654,1.00003,128,0.0,32,
1.283920135E9,8,10,../datasets/clusters,10.0306260546875,0.964,1.00003,128,0.0,32,
1.283919097E9,9,10,../datasets/clusters,10.0306179453125,0.9652,1.00003,128,0.0,32,
1.60006474E8,1,2,../datasets/clusters,1.250050578125,4.0E-4,1.22217,128,0.0,32,
1.6000609E8,1,2,../datasets/clusters,1.250047578125,5.0E-4,1.22656,128,0.0,32,
2.24026459E8,1,3,../datasets/clusters,1.7502067109375,0.0023,1.18233,128,0.0,32,
2.24026684E8,1,3,../datasets/clusters,1.75020846875,0.0028,1.18121,128,0.0,32,
2.2402729E8,2,3,../datasets/clusters,1.750213203125,0.0029,1.17541,128,0.0,32,
3.03139088E8,1,4,../datasets/clusters,2.368274125,0.0203,1.11359,128,0.0,32,
3.03140193E8,1,4,../datasets/clusters,2.3682827578125,0.0265,1.10251,128,0.0,32,
3.09142909E8,2,4,../datasets/clusters,2.4151789765625,0.0328,1.09542,128,0.0,32,
3.02141656E8,3,4,../datasets/clusters,2.3604816875,0.0344,1.09777,128,0.0,32,
3.8496808E8,1,5,../datasets/clusters,3.007563125,0.118,1.05115,128,0.0,32,
3.84969236E8,1,5,../datasets/clusters,3.00757215625,0.1204,1.05166,128,0.0,32,
3.84976546E8,2,5,../datasets/clusters,3.007629265625,0.2256,1.03169,128,0.0,32,
3.84977022E8,3,5,../datasets/clusters,3.007632984375,0.2212,1.03189,128,0.0,32,
3.84977069E8,4,5,../datasets/clusters,3.0076333515625,0.2193,1.03189,128,0.0,32,
4.87423583E8,1,6,../datasets/clusters,3.8079967421875,0.2364,1.03384,128,0.0,32,
4.87475006E8,2,6,../datasets/clusters,3.808398484375,0.4992,1.00877,128,0.0,32,
4.8748482E8,3,6,../datasets/clusters,3.80847515625,0.4992,1.00869,128,0.0,32,
4.87483814E8,4,6,../datasets/clusters,3.808467296875,0.508,1.00853,128,0.0,32,
4.87486531E8,5,6,../datasets/clusters,3.8084885234375,0.5019,1.00847,128,0.0,32,
6.25164257E8,1,7,../datasets/clusters,4.8840957578125,0.5975,1.00696,128,0.0,32,
6.25552228E8,2,7,../datasets/clusters,4.88712678125,0.7333,1.00207,128,0.0,32,
6.25584611E8,3,7,../datasets/clusters,4.8873797734375,0.7254,1.00216,128,0.0,32,
6.25596613E8,4,7,../datasets/clusters,4.8874735390625,0.7264,1.00211,128,0.0,32,
6.25602173E8,5,7,../datasets/clusters,4.8875169765625,0.7211,1.00217,128,0.0,32,
6.25599564E8,6,7,../datasets/clusters,4.88749659375,0.7244,1.00219,128,0.0,32,
8.39386379E8,1,8,../datasets/clusters,6.5577060859375,0.4795,1.01349,128,0.0,32,
8.42731427E8,2,8,../datasets/clusters,6.5838392734375,0.8544,1.00058,128,0.0,32,
8.43100449E8,3,8,../datasets/clusters,6.5867222578125,0.8532,1.00055,128,0.0,32,
8.43162087E8,4,8,../datasets/clusters,6.5872038046875,0.852,1.00054,128,0.0,32,
8.43159491E8,5,8,../datasets/clusters,6.5871835234375,0.8577,1.00052,128,0.0,32,
8.43158026E8,6,8,../datasets/clusters,6.587172078125,0.8591,1.00052,128,0.0,32,
8.43184124E8,7,8,../datasets/clusters,6.58737596875,0.8508,1.00057,128,0.0,32,
1.031156733E9,1,9,../datasets/clusters,8.0559119765625,0.3162,1.02614,128,0.0,32,
1.056645663E9,2,9,../datasets/clusters,8.2550442421875,0.9114,1.00022,128,0.0,32,
1.059942053E9,3,9,../datasets/clusters,8.2807972890625,0.9227,1.00015,128,0.0,32,
1.060288411E9,4,9,../datasets/clusters,8.2835032109375,0.9255,1.00014,128,0.0,32,
1.060364347E9,5,9,../datasets/clusters,8.2840964609375,0.9221,1.00014,128,0.0,32,
1.060381955E9,6,9,../datasets/clusters,8.2842340234375,0.9277,1.00014,128,0.0,32,
1.060352618E9,7,9,../datasets/clusters,8.284004828125,0.928,1.00013,128,0.0,32,
1.06036319E9,8,9,../datasets/clusters,8.284087421875,0.9244,1.00013,128,0.0,32,
3.11607749E8,1,10,../datasets/clusters,2.4344355390625,0.0071,1.16419,128,0.0,4,
4.37759816E8,2,10,../datasets/clusters,3.4199985625,0.0851,1.0699,128,0.0,4,
5.70084953E8,3,10,../datasets/clusters,4.4537886953125,0.2942,1.0234,128,0.0,4,
7.01978366E8,4,10,../datasets/clusters,5.484205984375,0.5686,1.00627,128,0.0,4,
8.35459342E8,5,10,../datasets/clusters,6.527026109375,0.7592,1.00179,128,0.0,4,
